,Fuel Type Code,Station Name,Street Address,City,State,ZIP,Latitude,Longitude
15,CNG,Black Hills Energy,1301 W 24th St,Cheyenne,WY,82001,41.135848,-104.830233
20,CNG,Intermountain Gas Co,555 S Cole Rd,Boise,ID,83709,43.599179,-116.276042
21,CNG,Intermountain Gas Co,12584 W Tyhee Rd,Pocatello,ID,83202,42.949867,-112.468069
22,CNG,Intermountain Gas Co,1527 Hollipark Dr,Idaho Falls,ID,83401,43.509729,-112.007445
23,CNG,Intermountain Gas Co,2921 Caldwell Blvd,Nampa,ID,83651,43.615117,-116.618458
24,CNG,ValleyRide,4701 Northrup St,Boise,ID,83705,43.559171,-116.241498
32,CNG,Jordan School District,8370 S 4300 W,West Jordan,UT,84088,40.599413,-111.993532
33,CNG,Questar Gas - Salt Lake City,1150 W 200 S,Salt Lake City,UT,84104,40.764976,-111.922291
34,CNG,Questar Gas - LW's Conoco,1050 W 200 N,Logan,UT,84321,41.734633,-111.861488
35,CNG,Dominion Energy - Market Express Sinclair,850 S Carbon Ave,Price,UT,84501,39.586805,-110.813433
36,CNG,Questar Gas - Chevron,1375 N Main St,Richfield,UT,84701,38.786621,-112.084147
40,CNG,X3Energy,3103 N Industrial Way,Castle Rock,CO,80104,39.407087,-104.872002
41,CNG,Clean Energy - Denver International Airport Rental Car,27700 E 78th Ave,Denver,CO,80249,39.83765604691739,-104.6805
43,CNG,Northwest Natural Gas - Parkrose Service Center,12120 NE Inverness Dr,Portland,OR,97220,45.562809,-122.537882
44,CNG,Northwest Natural Gas - Mt. Scott Service Center,9222 SE Knapp St,Portland,OR,97266,45.46966,-122.567129
45,CNG,Northwest Natural Gas - Salem Service Center,3123 Broadway St NE,Salem,OR,97303,44.971345,-123.029369
46,CNG,Oregon Department of Administrative Services State Motor Pool,1100 Airport Rd SE,Salem,OR,97301,44.9224565,-123.003936
62,CNG,PG&E - Grass Valley Service Center,788 Taylorville Rd,Grass Valley,CA,95949,39.20062,-121.062126
63,CNG,United Parcel Service,4500 Norris Canyon Rd,San Ramon,CA,94583,37.773172,-121.968239
64,CNG,PG&E - Santa Cruz Service Center,615 7th Ave,Santa Cruz,CA,95062,36.969267,-121.999295
65,CNG,PG&E - Bakersfield Service Center,4101 Wible Rd,Bakersfield,CA,93313,35.317617,-119.039048
66,CNG,PG&E - Fresno Service Center,3754 E California Ave,Fresno,CA,93725,36.72136,-119.761165
67,CNG,PG&E - Salinas Service Center,5124 Raye Ave,Salinas,CA,93901,36.67217,-121.641106
68,CNG,PG&E - San Carlos Service Center,275 Industrial Way,San Carlos,CA,94070,37.51689164917228,-122.2624653462799
69,CNG,PG&E - San Francisco Service Center,536 Treat Ave,San Francisco,CA,94110,37.761127,-122.41383
70,CNG,PG&E - Concord Service Center,1030 Detroit Ave,Concord,CA,94518,37.956072,-122.028697
71,CNG,PG&E - Hayward Service Center,24300 Clawiter Rd,Hayward,CA,94545,37.642339,-122.117821
72,CNG,PG&E - Richmond Service Center,1100 S 27th St,Richmond,CA,94804,37.916909,-122.344036
73,CNG,PG&E - San Rafael Service Center,1220 Andersen Dr,San Rafael,CA,94901,37.951236,-122.499682
74,CNG,PG&E - Cupertino Service Center,10900 N Blaney Ave,Cupertino,CA,95014,37.335646,-122.021398
75,CNG,PG&E - San Jose Service Center,308 Stockton Ave,San Jose,CA,95126,37.335663,-121.907088
76,CNG,PG&E - Stockton Service Center,4040 West Ln,Stockton,CA,95204,37.990624,-121.283787
77,CNG,PG&E - Santa Rosa Service Center,3965 Occidental Rd,Santa Rosa,CA,95401,38.428592,-122.766929
78,CNG,PG&E - Auburn Service Center,333 Sacramento St,Auburn,CA,95603,38.888863,-121.074465
79,CNG,PG&E - Davis Service Center,1415 2nd St,Davis,CA,95616,38.545155,-121.731878
80,CNG,Sacramento Regional Transit District - Mid Town,1400 29th St,Sacramento,CA,95816,38.568857,-121.470192
81,CNG,PG&E - Florin-Perkins Service Center,5555 Florin-Perkins Rd,Sacramento,CA,95826,38.52681700136836,-121.3904188113575
82,CNG,Anderson Union High School District (Private),1471 Ferry St,Anderson,CA,96007,40.443169,-122.306738
88,CNG,Chula Vista Education Center,84 E J St,Chula Vista,CA,91910,32.631042,-117.057953
89,CNG,Trillium - San Diego Metropolitan Transit System,3650 Main St,Chula Vista,CA,91911,32.59578,-117.054443
90,CNG,San Diego Gas and Electric - Carlsbad,602 Cannon Rd,Carlsbad,CA,92008,33.13411446156775,-117.3323436878052
91,CNG,Trillium - North County Transit District West,305 Via Del Norte,Oceanside,CA,92058,33.212501,-117.352552
92,CNG,Poway Unified School District,13626 Twin Peaks Rd,Poway,CA,92064,32.978339,-117.034924
93,CNG,San Diego Gas and Electric Service Center - Miramar Yard,6875 Consolidated Way,San Diego,CA,92121,32.876295,-117.166362
94,CNG,San Diego Gas and Electric Service Center - San Diego,5488 Overland Ave,San Diego,CA,92123,32.833537,-117.132811
95,CNG,Trillium - San Diego Metropolitan Transit System,4630 Ruffner St,San Diego,CA,92111,32.824786,-117.157551
96,CNG,Clean Energy - Waste Management - Moreno Valley,17700 Indian Ave,Moreno Valley,CA,92551,33.862772,-117.234706
97,CNG,Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 10,742 N Mission Rd,Los Angeles,CA,90033,34.056631,-118.220154
98,CNG,Clean Energy - Santa Monica SoCal Gas,1701 Stewart St,Santa Monica,CA,90404,34.030601,-118.465876
99,CNG,Clean Energy - Los Angeles County Sanitation District,2800 Workman Mill Rd,Whittier,CA,90601,34.025657,-118.031019
100,CNG,SoCalGas - Pico Rivera Base,8101 S Rosemead Blvd,Pico Rivera,CA,90660,33.968221,-118.109093
101,CNG,SoCalGas - San Pedro Base,755 W Capitol Dr,Los Angeles,CA,90731,33.758315,-118.293979
102,CNG,Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 15,11900 Branford St,Sun Valley,CA,91352,34.256511,-118.391859
103,CNG,SoCalGas - Van Nuys Base,16645 Saticoy St,Los Angeles,CA,91406,34.209219,-118.496403
104,CNG,City of Covina - City Corporate Yard,534 N Barranca Ave,Covina,CA,91723,34.091688,-117.87986
105,CNG,Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 8,7711 Canoga Ave,Chatsworth,CA,91311,34.2370197786977,-118.597759390213
106,CNG,SunLine Transit Agency,32-505 Harry Oliver Trail,Thousand Palms,CA,92276,33.812361,-116.395444
107,CNG,SoCalGas - Riverside Base,3077 Cottage St,Riverside,CA,92507,33.971694,-117.371722
108,CNG,SoCalGas - Garden Grove Base,12698 Industry St,Garden Grove,CA,92841,33.778966,-118.007908
109,CNG,Clean Energy - Irvine City Yard,6427 Oak Canyon,Irvine,CA,92618,33.676026,-117.764558
110,CNG,SoCalGas - Oxnard Base,1650 Patton Ct,Oxnard,CA,93030,34.191405,-119.161215
111,CNG,Revolution CNG - JB Dewar Inc,75 Prado Rd,San Luis Obispo,CA,93401,35.254197,-120.670939
117,CNG,Clean Energy - RTC Losee,3333 Losee Rd,North Las Vegas,NV,89124,36.220567,-115.125553
121,CNG,Avista Pullman Service Center,5702 State Route 270,Pullman,WA,99163,46.72815,-117.105
122,CNG,Avista Central Operating Facility,1411 E Mission Ave,Spokane,WA,99202,47.671791,-117.389731
123,CNG,Avista Clarkston Service Center,1330 Fair St,Clarkston,WA,99403,46.421726,-117.060257
125,CNG,Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 18,450 W Griffith St,Gardena,CA,90745,33.859921,-118.281006
126,CNG,Clean Energy - Los Angeles International Airport,10400 Aviation Blvd,Los Angeles,CA,90045,33.941383,-118.377866
132,CNG,PG&E - Chico Service Center,11239 Midway,Chico,CA,95928,39.710548,-121.812671
133,CNG,PG&E - Vacaville Service Center,158 Peabody Rd,Vacaville,CA,95687,38.3509,-121.977342
134,CNG,Unitrans Shop,800 Garrod Dr,Davis,CA,95616,38.53261231120132,-121.7597961521149
135,CNG,SunLine Transit Agency,83-255 Highway 111,Indio,CA,92201,33.714919,-116.211564
136,CNG,SoCalGas - Energy Resource Center,9240 E Firestone Blvd,Downey,CA,90241,33.932994,-118.119479
137,CNG,Trillium - Southern California Gas Co,1919 S State College Blvd,Anaheim,CA,92806,33.801121,-117.889388
138,CNG,Omnitrans,1700 W 5th St,San Bernardino,CA,92411,34.108647,-117.325532
139,CNG,SoCalGas - Compton Base,1471 E Elm St,Compton,CA,90221,33.899899,-118.207088
140,CNG,University of California - Riverside,3401 Watkins Dr,Riverside,CA,92521,33.979964,-117.321031
141,CNG,City of Ontario - City Yard,1440 S Cucamonga St,Ontario,CA,91761,34.047068,-117.634077
142,CNG,Clean Energy - Palm Springs International Airport,3400 E Tahquitz Canyon Way,Palm Springs,CA,92262,33.823151,-116.508135
143,CNG,City of Alhambra,900 S New Ave,Alhambra,CA,91801,34.082264,-118.108702
144,CNG,SoCalGas - Romoland,2270 Trumble Rd,Perris,CA,92570,33.760846,-117.185047
145,CNG,Marine Corps Air Ground Combat Center,Del Valle Blvd,Twentynine Palms,CA,92278,34.2019,-116.045
156,ELEC,LADWP - Truesdale Center,11797 Truesdale St,Sun Valley,CA,91352,34.2483191527193,-118.3879713743439
157,ELEC,LADWP - West LA District Office,1394 S Sepulveda Blvd,Los Angeles,CA,90024,34.052542,-118.448504
158,ELEC,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,34.040539,-118.271387
159,ELEC,LADWP - John Ferraro Building,111 N Hope St,Los Angeles,CA,90012,34.059133,-118.248589
160,ELEC,LADWP - Haynes Power Plant,6801 E 2nd St,Long Beach,CA,90803,33.759802,-118.096665
161,ELEC,LADWP - Harbor Generating Station,161 N Island Ave,Wilmington,CA,90744,33.770508,-118.265628
162,ELEC,LADWP - Sylmar West,13201 Sepulveda Blvd,Sylmar,CA,91342,34.30309,-118.480505
163,ELEC,LADWP - EV Service Center,1630 N Main St,Los Angeles,CA,90012,34.066801,-118.227605
164,ELEC,LADWP - Fairfax Center,2311 S Fairfax Ave,Los Angeles,CA,90016,34.036777,-118.368841
165,ELEC,California Air Resources Board,9530 Telstar Ave,El Monte,CA,91731,34.06872,-118.064
166,ELEC,LADWP - Palmetto Center,1212 Palmetto St,Los Angeles,CA,90013,34.039736,-118.236065
168,LNG,Clean Energy - Los Angeles International Airport,7350 World Way W,Los Angeles,CA,90045,33.941974,-118.420055
170,ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,La Jolla,CA,92037,32.89947,-117.243
171,ELEC,Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,34.221665,-118.468371
172,ELEC,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,33.909914,-117.459053
173,ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,34.14762,-118.147111
174,ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,34.145138,-118.152655
175,ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,34.145119,-118.150133
176,ELEC,Pasadena Hilton,150 S Los Robles,Pasadena,CA,91101,34.142973,-118.140553
178,CNG,Kings County Yard,11827 S 11th Ave,Hanford,CA,93230,36.301205,-119.654857
179,CNG,United Parcel Service,1735 S Turner Ave,Ontario,CA,91761,34.042311,-117.584572
180,CNG,Clean Energy - City of Tulare,3989 S K St,Tulare,CA,93274,36.169487,-119.338155
181,CNG,Clean Energy - Denver International Airport Concourse A,27651 E 81st Ave,Denver,CO,80249,39.843538,-104.7096952
182,CNG,Northwest Natural Gas - Sunset Service Center,20605 NW Cornell Rd,Hillsboro,OR,97124,45.538064,-122.887453
188,ELEC,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,33.7637,-118.192
189,ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,33.94325,-118.403342
190,ELEC,Northride Fashion Center,9301 Tampa Ave,Northridge,CA,91324,34.241116,-118.556708
191,ELEC,Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,CA,91764,34.07122,-117.575
192,ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,34.228315,-119.170865
193,ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,Palm Springs,CA,92262,33.824004,-116.543589
194,ELEC,East Bay Mini,4340 Rosewood Dr,Pleasanton,CA,94588,37.700187,-121.876172
195,ELEC,Inland Empire Foods,5425 Wilson St,Riverside,CA,92509,34.0189,-117.38
196,ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,Sacramento,CA,95837,38.69005,-121.58889
197,ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,Santa Monica,CA,90405,34.017081,-118.44704
198,ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,Santa Monica,CA,90405,34.010021,-118.49583
199,ELEC,Westfield Fashion Square,14006 Riverside Dr,Sherman Oaks,CA,91423,34.156839,-118.434454
200,ELEC,Van Nuys Amtrak/Metrolink Station,7724 Van Nuys Blvd,Van Nuys,CA,91405,34.21108,-118.448704
201,ELEC,Office Max - Home Depot,7075 Firestone Blvd,Downey,CA,90241,33.94756,-118.153806
202,ELEC,Hyatt at Fisherman's Wharf,555 N Point St,San Francisco,CA,94133,37.80619,-122.4152
203,ELEC,Arden Fair Mall,1689 Arden Way,Sacramento,CA,95815,38.599693,-121.427045
212,CNG,City of Victorville,14201 McArt Rd,Victorville,CA,92392,34.508713,-117.332343
213,CNG,Placer County Department of Public Works,11448 F Ave,Auburn,CA,95603,38.935741,-121.103591
214,CNG,Golden Empire Transit,1830 Golden State Ave,Bakersfield,CA,93301,35.391836,-119.025602
215,CNG,Contra Costa County,2467 Waterbird Way,Martinez,CA,94553,38.001646,-122.072536
216,CNG,City of Roseville,2005 Hilltop Cir,Roseville,CA,95747,38.729924,-121.316844
217,CNG,Elk Grove Unified School District,8421 Gerber Rd,Sacramento,CA,95828,38.481677,-121.39277
218,CNG,Fountain Valley - Orange County Sanitation District,10844 Ellis Ave,Fountain Valley,CA,92708,33.691565,-117.939438
219,CNG,City of El Monte Transportation Services,3629 Cypress Ave,El Monte,CA,91731,34.074496,-118.030858
220,CNG,Whittier Union High School District,13200 Mulberry Dr,Whittier,CA,90602,33.954901,-118.045014
221,CNG,SoCalGas - Santa Barbara Base,219 N Quarantina St,Santa Barbara,CA,93103,34.421443,-119.684178
222,CNG,Kings Canyon Unified School District,1600 S Apple Ave,Reedley,CA,93654,36.590599,-119.4258
223,CNG,City of Delano,725 S Lexington St,Delano,CA,93215,35.75191,-119.240762
224,CNG,Simi Valley Transit,490 W Los Angeles Ave,Simi Valley,CA,93065,34.285896,-118.810731
225,CNG,San Diego Metropolitan Transit System,100 16th St,San Diego,CA,92101,32.705788,-117.149884
255,LPG,Town & Country Supply - Laurel,800 E Main St,Laurel,MT,59044,45.672305,-108.761506
256,LPG,Taylor's True Value Farm Store,714 Roosevelt Hwy,Shelby,MT,59474,48.509598,-111.864547
257,LPG,Westside Self Service,200 Highway 2 W,Malta,MT,59538,48.363671,-107.878595
274,LPG,Independent Propane Co,67302 US Highway 285,Pine,CO,80470,39.462523,-105.400158
275,LPG,Glaser Energy Group,650 County Rd 5,Divide,CO,80814,38.951592,-105.157543
276,LPG,Glaser Energy Group,215 Auburn Dr,Colorado Springs,CO,80909,38.836518,-104.76244
282,LPG,Western Propane Services Inc,12600 Western Ave,Garden Grove,CA,92841,33.778977,-118.001197
283,LPG,Suburban Propane,1765 Arnold Industrial Way,Concord,CA,94520,38.00326,-122.048376
284,LPG,DeCarli's Propane,423 Wilson St,Petaluma,CA,94952,38.236513,-122.629384
285,LPG,Burlington Country Store,1276 S Burlington Blvd,Burlington,WA,98233,48.461001,-122.335019
286,LPG,Skagit Farmers Country Store,31686 State Route 20,Oak Harbor,WA,98277,48.291006,-122.657044
287,LPG,All American Propane Inc,1617 S Keys Rd,Yakima,WA,98901,46.579372,-120.458565
298,LPG,AmeriGas,534 Grand Ave,Arco,ID,83213,43.631949,-113.30613
299,LPG,Mutual Propane,17117 S Broadway St,Gardena,CA,90248,33.875777,-118.278709
300,LPG,Suburban Propane,2874 S Cherry Ave,Fresno,CA,93706,36.696968,-119.783754
311,LPG,True Value Hardware,16510 Highway 9 SE,Snohomish,WA,98296,47.847339,-122.119043
312,LPG,AmeriGas,780 Highway 395 N,Kettle Falls,WA,99141,48.608837,-118.031363
313,LPG,AmeriGas,411 N Havana St,Spokane,WA,99202,47.661336,-117.347683
314,LPG,Rocky Mountain Supply,700 N Montana St,Dillon,MT,59725,45.228358,-112.62784
315,LPG,Western States Propane,1207 Water St,Elko,NV,89801,40.835661,-115.752194
317,LPG,Mutual Propane,1001 Edinger Ave,Tustin,CA,92780,33.726848,-117.833643
318,LPG,Miller Gas Co,1420 W Main St,Tremonton,UT,84337,41.711475,-112.187957
329,LPG,American Distributing,13618 45th Ave NE,Marysville,WA,98271,48.11959,-122.172864
333,LPG,Alliance AutoGas - Medford Co,6096 Crater Lake Ave,Central Point,OR,97502,42.404792,-122.855072
334,LPG,Northwest Propane Sales Inc,8450 Depot Rd,Lynden,WA,98264,48.948679,-122.451035
339,CNG,Rogue Valley Transportation District,3200 Crater Lake Ave,Medford,OR,97504,42.36317,-122.85563
344,CNG,Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 5,5425 S Van Ness Ave,Los Angeles,CA,90062,33.992627,-118.317126
345,CNG,Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 3,630 W Avenue 28,Los Angeles,CA,90065,34.088243,-118.223768
346,CNG,Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 7,8800 Santa Monica Blvd,Los Angeles,CA,90069,34.085569,-118.382413
347,CNG,United Parcel Service,1320 Shore St,West Sacramento,CA,95691,38.572721,-121.546207
348,CNG,City of Victorville,16690 D St,Victorville,CA,92395,34.53939073408298,-117.2961996095092
482,LPG,U-Haul,1145 W Main St,Billings,MT,59105,45.819742,-108.469457
551,LPG,U-Haul,6275 Wadsworth Bypass,Arvada,CO,80003,39.810594,-105.079996
552,LPG,U-Haul,13721 E Colfax Ave,Aurora,CO,80011,39.740617,-104.827797
553,LPG,U-Haul,615 S Havana St,Aurora,CO,80012,39.705021,-104.8666
554,LPG,U-Haul,8001 Federal Blvd,Westminster,CO,80031,39.842034,-105.025261
555,LPG,U-Haul,2645 W Alameda Ave,Denver,CO,80219,39.711528,-105.01878
556,LPG,U-Haul,7540 York St,Denver,CO,80229,39.833756,-104.958094
557,LPG,U-Haul,9190 W Jewell Ave,Lakewood,CO,80232,39.681789,-105.099723
558,LPG,U-Haul,3105 N Nevada Ave,Colorado Springs,CO,80907,38.876658,-104.81853
559,LPG,U-Haul,1193 N Academy Blvd,Colorado Springs,CO,80909,38.849398,-104.757291
560,LPG,U-Haul,4030 Carruth Ct,Pueblo,CO,81008,38.3099323,-104.6132315
561,LPG,U-Haul,709 N 5th Ave,Pocatello,ID,83201,42.87105,-112.449264
562,LPG,U-Haul,1757 Kimberly Rd,Twin Falls,ID,83301,42.549067,-114.451025
563,LPG,U-Haul,8151 W Chinden Blvd,Boise,ID,83714,43.65012,-116.283375
564,LPG,U-Haul,1121 N Orchard St,Boise,ID,83706,43.614602,-116.244106
565,LPG,U-Haul,5305 S State St,Salt Lake City,UT,84107,40.655728,-111.887747
566,LPG,U-Haul,415 W 2100 S,Salt Lake City,UT,84115,40.725184,-111.902655
567,LPG,U-Haul,551 W Columbia Ln,Provo,UT,84604,40.250645,-111.668981
578,LPG,U-Haul,2301 Las Vegas Blvd N,Las Vegas,NV,89030,36.20200560268506,-115.1211082211487
579,LPG,U-Haul,2030 E Fremont St,Las Vegas,NV,89101,36.1605644,-115.1231487
580,LPG,U-Haul,2001 W Bonanza Rd,Las Vegas,NV,89106,36.176416,-115.168523
581,LPG,U-Haul,5316 Boulder Hwy,Las Vegas,NV,89122,36.106441,-115.058298
582,LPG,U-Haul,3411 S Virginia St,Reno,NV,89502,39.492311,-119.797219
583,LPG,Avcogas,520 E Slauson Ave,Los Angeles,CA,90011,33.98873,-118.265792
584,LPG,U-Haul,657 S Atlantic Blvd,Los Angeles,CA,90022,34.022744,-118.15702
585,LPG,U-Haul,11020 S Vermont Ave,Los Angeles,CA,90044,33.934865,-118.291148
586,LPG,U-Haul,14206 Van Ness Ave,Gardena,CA,90249,33.902505,-118.317844
587,LPG,U-Haul,11716 Long Beach Blvd,Lynwood,CA,90262,33.921786,-118.208987
588,LPG,U-Haul,21707 S Western Ave,Torrance,CA,90501,33.831062,-118.309614
589,LPG,U-Haul,661 E Lambert Rd,La Habra,CA,90631,33.925537,-117.939756
590,LPG,U-Haul,2320 N Lincoln Ave,Altadena,CA,91001,34.185844,-118.159075
591,LPG,U-Haul,28650 Canwood St,Agoura,CA,91301,34.145236,-118.750299
592,LPG,U-Haul,8500 Sepulveda Blvd,North Hills,CA,91343,34.224858,-118.467553
593,LPG,U-Haul,7721 Hollywood Way,Burbank,CA,91505,34.21136018967161,-118.3487506925903
594,LPG,Ted Johnson Propane,5140 N Elton St,Baldwin Park,CA,91706,34.106326,-117.950079
595,LPG,U-Haul,1040 N Azusa Ave,Covina,CA,91722,34.098237,-117.907075
596,LPG,U-Haul,10704 Garvey Ave,El Monte,CA,91733,34.062553,-118.041255
597,LPG,U-Haul,831 E Holt Blvd,Ontario,CA,91761,34.063561,-117.637591
598,LPG,U-Haul,2190 N Garey Ave,Pomona,CA,91767,34.087045,-117.750613
599,LPG,U-Haul,1512 W Holt Ave,Pomona,CA,91768,34.061621,-117.775428
600,LPG,U-Haul,4251 Rosemead Blvd,Rosemead,CA,91770,34.084034,-118.073674
601,LPG,U-Haul,99 N 4th Ave,Chula Vista,CA,91910,32.654061,-117.088151
602,LPG,U-Haul,1805 Massachusetts Ave,Lemon Grove,CA,91945,32.72433,-117.039878
603,LPG,U-Haul,802 S Coast Hwy,Oceanside,CA,92054,33.188631,-117.372747
604,LPG,U-Haul,13210 Poway Rd,Poway,CA,92064,32.957143,-117.044492
605,LPG,U-Haul,83491 Highway 111,Indio,CA,92201,33.714893,-116.208175
606,LPG,U-Haul,800 E Main St,Barstow,CA,92311,34.898112,-117.016789
607,LPG,U-Haul,16823 Foothill Blvd,Fontana,CA,92335,34.106384,-117.438017
608,LPG,U-Haul,380 N State St,Hemet,CA,92543,33.752466,-116.971235
609,LPG,U-Haul,1200 Alabama St,Redlands,CA,92374,34.068433,-117.208493
610,LPG,U-Haul,1198 E Baseline St,San Bernardino,CA,92410,34.12165,-117.260946
611,LPG,U-Haul,3600 Van Buren Blvd,Riverside,CA,92503,33.917138,-117.4445
612,LPG,U-Haul,1834 Spruce St,Riverside,CA,92507,33.98873,-117.351057
613,LPG,U-Haul,3020 Saviers Rd,Oxnard,CA,93033,34.171791,-119.177073
614,LPG,AAA Propane Service,621 Maulhardt Ave,Oxnard,CA,93030,34.207462,-119.14503
615,LPG,ARRO Autogas - Delta Liquid Energy #14,3400 Buck Owens Blvd,Bakersfield,CA,93308,35.390632,-119.04227
616,LPG,ARRO Autogas - Delta Liquid Energy #51,42165 N Sierra Hwy,Lancaster,CA,93535,34.649171,-118.129499
617,LPG,U-Haul,4036 E Ventura Ave,Fresno,CA,93702,36.735494,-119.757289
618,LPG,U-Haul,6265 Scarlett Ct,Dublin,CA,94568,37.703602,-121.905313
619,LPG,U-Haul,1017 23rd St,Richmond,CA,94804,37.94772,-122.347453
620,LPG,U-Haul,1266 White Oaks Rd,Campbell,CA,95008,37.268914,-121.946306
621,LPG,U-Haul,705 Curtner Ave,San Jose,CA,95125,37.293218,-121.876098
622,LPG,U-Haul,2701 N Wilson Way,Stockton,CA,95205,37.983403,-121.271676
623,LPG,U-Haul,7701 Tam O'Shanter Dr,Stockton,CA,95210,38.019271,-121.300836
624,LPG,Kamps Propane,1929 E Moffat Blvd,Manteca,CA,95336,37.777462,-121.18512
625,LPG,U-Haul,1247 Martin Luther King Jr Way,Merced,CA,95341,37.295859,-120.483328
626,LPG,Kamps Propane,22479 Highway 88,Pioneer,CA,95666,38.4155472,-120.6109796
627,LPG,Kamps Propane,3275 Bradley Dr,Placerville,CA,95667,38.70224,-120.812719
628,LPG,U-Haul,11351 Pyrites Way,Rancho Cordova,CA,95670,38.615778,-121.257558
629,LPG,U-Haul,2738 65th St,Sacramento,CA,95817,38.549064,-121.428202
630,LPG,U-Haul,2830 Broadway,Sacramento,CA,95817,38.556839,-121.475556
631,LPG,K-Gas,2770 Feather River Blvd,Oroville,CA,95965,39.48848959785379,-121.5739341226845
632,LPG,U-Haul,205 E Cypress Ave,Redding,CA,96002,40.570499,-122.367668
633,LPG,U-Haul,2722 Kilihau St,Honolulu,HI,96819,21.335613,-157.897094
634,LPG,U-Haul,2380 NE Cornell Rd,Hillsboro,OR,97124,45.530018,-122.959141
635,LPG,U-Haul,7345 NE Sandy Blvd,Portland,OR,97213,45.549315,-122.587352
636,LPG,U-Haul,1050 NW 5th St,Corvallis,OR,97330,44.573782,-123.259127
637,LPG,U-Haul,6720 NE Bothell Way,Kenmore,WA,98028,47.7588,-122.250962
638,LPG,U-Haul,19130 Highway 99,Lynnwood,WA,98036,47.824898,-122.312388
639,LPG,U-Haul,1119 NW Leary Way,Ballard,WA,98107,47.6634224,-122.3738053
640,LPG,U-Haul,6403 Martin Luther King Jr Way S,Seattle,WA,98118,47.545239,-122.285289
641,LPG,U-Haul,16503 Aurora Ave N,Shoreline,WA,98133,47.74906,-122.34622
642,LPG,U-Haul,20024 International Blvd,SeaTac,WA,98198,47.421994,-122.29588
643,LPG,U-Haul,6443 Evergreen Way,Everett,WA,98203,47.938948,-122.217746
644,LPG,U-Haul,15315 Pacific Ave S,Tacoma,WA,98444,47.117172,-122.434182
645,LPG,U-Haul,3315 E 4th Plain Blvd,Vancouver,WA,98661,45.6372327,-122.6373006
646,LPG,U-Haul,1122 S 1st St,Yakima,WA,98901,46.588969,-120.500158
647,LPG,U-Haul,8805 N Division St,Spokane,WA,99218,47.737402,-117.41306
648,LPG,U-Haul,3212 W Court St,Pasco,WA,99301,46.241332,-119.133935
654,BD,Pacific Biodiesel Inc,40 Hobron Ave,Kahului,HI,96732,20.89254,-156.461358
659,E85,Sinclair,295 S Broadway,Denver,CO,80209,39.711518,-104.987981
662,CNG,Clean Energy - Los Angeles County Metropolitan Transportation Authority - Division 1,1130 E 6th St,Los Angeles,CA,90021,34.038221,-118.238553
670,CNG,United Parcel Service,1825 W McKinley Ave,Fresno,CA,93728,36.764688,-119.832131
671,CNG,United Parcel Service,1800 N Main St,Los Angeles,CA,90031,34.064532,-118.222392
672,CNG,Trillium - City of Thousand Oaks,1993 Rancho Conejo Blvd,Thousand Oaks,CA,91320,34.206237,-118.933606
680,LPG,Slim Olson's,2600 S Main St,Bountiful,UT,84010,40.861884,-111.896345
682,BD,Dr. Dan's Alternative Fuels Werks,912 NW 50th St,Seattle,WA,98107,47.66525,-122.369311
683,LPG,Pitcher Farm and Auto,1101 S 1600 W,Lewiston,UT,84320,41.9570696446982,-111.8951005979004
684,LPG,Wasatch Propane,201 W 2700 S,Salt Lake City,UT,84115,40.71225,-111.897151
685,LPG,Mountain States LP Gas,2927 S American Way,Ogden,UT,84401,41.21147,-112.019184
686,LPG,Propane of Wendover,460 Mesa St,West Wendover,NV,89883,40.7326313,-114.0756632
687,LPG,Independent Propane Co,880 E Agate Ct,Granby,CO,80446,40.08448823321663,-105.9283874123726
689,ELEC,Palace Hotel,2 New Montgomery St,San Francisco,CA,94105,37.78881,-122.401
690,ELEC,Mark Hopkins InterContinental Hotel,999 California St,San Francisco,CA,94108,37.791791,-122.411265
691,ELEC,Hotel Sofitel,8555 Beverly Blvd,Los Angeles,CA,90048,34.076264,-118.377527
